session,group,family,label,x,topology_seed,n_neurons,rate_hz,n_events,events_per_min,mean_participation,mean_duration_ms,max_duration_ms,mean_ibi_ms,n_full,max_ko_mM,mean_ko_mM,duration_ms
sweep_c40_seed20,c40,kclear,kclear_tau12000,12000.0,20,811,0.25453486779010825,24,8.0,0.2948520345252775,132.29166666666666,280.0,7463.589129416953,9,5.4743556292233695,5.377094355997997,180000.0
sweep_c40_seed20,c40,both,both_tau12000,12000.0,20,811,0.8089121797506508,15,5.0,0.1414714344430744,106.66666666666667,200.0,11373.628569799288,0,15.16152885148975,14.851667108486742,180000.0
sweep_c40_seed20,c40,fourap,fourap_00.0mM,0.0,20,811,0.30517879161528977,27,9.0,0.5806274832168791,152.22222222222223,270.0,6627.305768326619,21,4.0951895054704535,3.9976787659112225,180000.0
sweep_c40_seed20,c40,fourap,fourap_00.2mM,0.2,20,811,0.298821756404987,28,9.333333333333334,0.522326933239387,148.21428571428572,255.0,6347.137036174515,19,4.097195423803528,3.997554603290953,180000.0
sweep_c40_seed20,c40,fourap,fourap_00.5mM,0.5,20,811,0.3020002740101384,24,8.0,0.5918105219893136,160.20833333333334,310.0,7524.808694622492,21,4.098557063708774,3.997584430684909,180000.0
sweep_c40_seed20,c40,fourap,fourap_01.0mM,1.0,20,811,0.2951363200438416,25,8.333333333333334,0.5207398273736128,138.8,195.0,7184.018749019274,18,4.103696901988805,3.997436002085761,180000.0
sweep_c40_seed20,c40,fourap,fourap_02.0mM,2.0,20,811,0.3020550760378134,27,9.0,0.5378362332739646,165.1851851851852,330.0,6704.057691385498,19,4.0897127465453105,3.997501241556018,180000.0
sweep_c40_seed20,c40,fourap,fourap_04.0mM,4.0,20,811,0.29964378682011233,24,8.0,0.5772194821208384,148.33333333333334,255.0,7467.76521637466,19,4.091308085281076,3.997438655717261,180000.0
sweep_c40_seed20,c40,fourap,fourap_09.0mM,9.0,20,811,0.29971913960816554,23,7.666666666666667,0.5641451777194016,172.82608695652175,250.0,7881.607953465168,17,4.097121277287335,3.997424250087948,180000.0
sweep_c40_seed20,c40,sahp,sahp_s0.00,0.0,20,811,0.30517879161528977,27,9.0,0.5806274832168791,152.22222222222223,270.0,6627.305768326619,21,4.0951895054704535,3.9976787659112225,180000.0
sweep_c40_seed20,c40,kclear,kclear_tau00500,500.0,20,811,0.3003288121660501,26,8.666666666666666,0.5442473679218439,147.1153846153846,220.0,7001.653999033858,19,4.156873439289374,3.9944106493666527,180000.0
sweep_c40_seed20,c40,sahp,sahp_s0.25,0.25,20,811,0.43660775448691597,29,9.666666666666666,0.8512266678005017,183.9655172413793,415.0,6134.841070603224,28,4.1339834808324865,4.00010891403279,180000.0
sweep_c40_seed20,c40,sahp,sahp_s0.50,0.5,20,811,0.6327647622962049,38,12.666666666666666,0.9144006749302358,206.57894736842104,395.0,4696.384458828796,37,4.162246309089697,4.005453674811264,180000.0
sweep_c40_seed20,c40,sahp,sahp_s0.75,0.75,20,811,0.9683997807918894,55,18.333333333333332,0.8930388969846429,271.27272727272725,525.0,3249.3680551180696,50,4.20760823334872,4.0179843974706415,180000.0
sweep_c40_seed20,c40,sahp,sahp_s1.00,1.0,20,811,1.661309768461433,76,25.333333333333332,0.9525115192420012,460.7894736842105,680.0,2349.726666348874,72,4.307254901127711,4.04980398442359,180000.0
sweep_c40_seed20,c40,both,both_tau00500,500.0,20,811,1.6475544595150022,80,26.666666666666668,0.9309494451294696,360.8125,590.0,2240.4610756487828,74,4.90071049816929,4.139126115073628,180000.0
sweep_c40_seed20,c40,kclear,kclear_tau01000,1000.0,20,811,0.304240306891355,23,7.666666666666667,0.6115370181740203,180.43478260869566,345.0,7909.731817094021,20,4.385350644366098,3.990469749630835,180000.0
sweep_c40_seed20,c40,both,both_tau01000,1000.0,20,811,1.068427181805727,142,47.333333333333336,0.45432521144127397,322.0422535211268,830.0,1263.1985813898038,91,5.48658550837237,5.133145738437657,180000.0
sweep_c40_seed20,c40,kclear,kclear_tau02500,2500.0,20,811,0.29404027949034117,28,9.333333333333334,0.4898714109564911,164.28571428571428,290.0,6222.946295459573,19,4.643133001087381,3.994935249642115,180000.0
sweep_c40_seed20,c40,both,both_tau02500,2500.0,20,811,0.8393821071379641,28,9.333333333333334,0.16742998062356876,129.10714285714286,245.0,6378.720369501431,0,8.232073726085476,8.147807098284407,180000.0
sweep_c40_seed20,c40,kclear,kclear_tau06000,6000.0,20,811,0.2592546924236197,25,8.333333333333334,0.3103822441430333,137.6,230.0,7169.374999020726,10,4.848544300788405,4.759521884622061,180000.0
sweep_c40_seed20,c40,both,both_tau06000,6000.0,20,811,0.8104260857651734,14,4.666666666666667,0.1528976572133169,121.78571428571429,210.0,9712.853844691615,0,11.867301735939957,11.704907110092089,180000.0
