condition,neuron,population,rate_hz,tp_pre,fp_pre,tp_post,fp_post,predicted_out
normal,186,E5,1.3989,3,10,6,18,13
normal,187,E5,1.6344,4,6,10,22,10
normal,188,E5,1.6611,3,36,3,25,39
normal,189,E5,1.68,5,15,12,17,20
normal,190,E5,1.5789,5,16,13,16,21
normal,191,E5,1.5278,7,13,5,21,20
normal,192,E5,1.4833,5,16,8,22,21
normal,193,E5,1.4122,3,25,7,24,28
normal,194,E5,1.8533,4,21,9,18,25
normal,195,E5,1.58,8,17,5,32,25
normal,196,E5,1.6767,6,8,11,26,14
normal,197,E5,1.6278,1,12,5,24,13
normal,198,E5,1.4756,8,14,8,25,22
normal,199,E5,1.5267,5,32,12,24,37
normal,200,E5,1.6511,1,5,15,16,6
normal,201,E5,1.3656,11,15,7,18,26
normal,202,E5,1.5489,4,17,7,20,21
normal,203,E5,1.5078,7,19,8,22,26
normal,204,E5,1.6144,8,23,12,19,31
normal,205,E5,1.7022,10,32,8,17,42
normal,206,E5,1.6944,6,26,7,23,32
normal,207,E5,1.5356,7,27,6,20,34
normal,208,E5,1.4822,4,11,6,26,15
normal,209,E5,1.3989,2,18,7,23,20
normal,210,E5,1.7056,6,18,4,24,24
normal,211,E5,1.3489,2,13,8,23,15
normal,212,E5,1.51,2,19,12,17,21
normal,213,E5,1.5733,7,22,8,11,29
normal,214,E5,1.5967,2,8,9,22,10
normal,215,E5,1.6378,6,23,9,32,29
normal,216,E5,1.4744,9,19,12,13,28
normal,217,E5,1.5522,0,5,6,21,5
normal,218,E5,1.3244,6,21,5,15,27
normal,219,E5,1.5622,8,14,8,24,22
normal,220,E5,1.7078,3,18,8,24,21
normal,221,E5,1.5244,8,23,7,26,31
normal,222,E5,1.6711,6,15,10,27,21
normal,223,E5,1.5222,7,19,6,22,26
normal,224,E5,1.6044,6,26,8,13,32
normal,225,E5,1.55,1,6,4,22,7
normal,226,E5,1.62,7,25,6,26,32
normal,227,E5,1.6067,10,22,6,18,32
normal,228,E5,1.5433,8,19,9,15,27
normal,229,E5,1.6989,5,26,6,26,31
normal,230,E5,1.6289,8,28,8,18,36
normal,231,E5,1.6744,5,18,6,23,23
normal,232,E5,1.6011,7,22,7,19,29
normal,233,E5,1.5844,10,24,17,20,34
normal,234,E5,1.5533,5,20,5,21,25
normal,235,E5,1.5689,7,25,12,17,32
normal,236,E5,1.4656,3,16,5,25,19
normal,237,E5,1.3956,2,11,11,27,13
normal,238,E5,1.44,3,4,11,16,7
normal,239,E5,1.5167,2,11,5,19,13
normal,240,E5,1.4756,3,13,13,23,16
normal,241,E5,1.3811,4,14,14,20,18
normal,242,E5,1.5056,8,13,12,23,21
normal,243,E5,1.6278,6,11,11,21,17
normal,244,E5,1.7344,11,24,13,19,35
normal,245,E5,1.4722,2,17,11,29,19
normal,246,E5,1.5789,6,13,7,24,19
normal,247,E5,1.3656,7,26,7,26,33
normal,248,E5,1.3644,2,15,14,22,17
normal,249,E5,1.5811,6,17,6,21,23
normal,250,E5,1.6933,2,12,10,18,14
normal,251,E5,1.6356,8,16,6,24,24
normal,252,E5,1.2633,3,8,10,20,11
normal,253,E5,1.6744,7,15,9,16,22
normal,254,E5,1.5078,8,22,7,29,30
normal,255,E5,1.3389,3,12,14,24,15
normal,256,E5,1.7011,15,38,8,20,53
normal,257,E5,1.5778,3,12,9,31,15
normal,258,E5,1.6356,7,13,4,30,20
normal,259,E5,1.5256,0,11,12,21,11
normal,260,E5,1.6633,5,24,6,24,29
normal,261,E5,1.38,5,19,16,14,24
normal,262,E5,1.4344,4,9,11,22,13
normal,263,E5,1.5211,5,12,7,15,17
normal,264,E5,1.4156,2,23,8,20,25
normal,265,E5,1.4756,8,13,11,19,21
normal,266,E5,1.5944,7,13,6,24,20
normal,267,E5,1.5922,5,13,8,27,18
normal,268,E5,1.6556,5,21,10,17,26
normal,269,E5,1.4856,6,11,5,20,17
normal,270,E5,1.5789,8,18,14,23,26
normal,271,E5,1.6678,10,29,8,28,39
normal,272,E5,1.5156,7,27,12,20,34
normal,273,E5,1.4078,3,18,3,16,21
normal,274,E5,1.6889,8,18,6,27,26
normal,275,E5,1.3489,5,12,8,18,17
normal,276,E5,1.5889,3,29,9,21,32
normal,277,E5,1.4044,4,21,8,22,25
normal,278,E5,1.3933,8,7,9,20,15
normal,279,E5,1.5867,3,8,7,19,11
normal,280,E5,1.4344,2,12,5,20,14
normal,281,E5,1.6967,6,22,8,21,28
normal,282,E5,1.4433,2,16,13,20,18
normal,283,E5,1.3222,4,6,9,30,10
normal,284,E5,1.7067,12,40,17,16,52
normal,285,E5,1.5378,8,24,4,32,32
normal,286,E5,1.3522,5,7,7,25,12
normal,287,E5,1.5789,10,14,14,21,24
normal,288,E5,1.3856,5,18,6,26,23
normal,289,E5,1.6111,10,22,6,15,32
normal,290,E5,1.5356,4,14,6,20,18
