n_recordings,minutes,nominal_target_fdr,realized_fdr,estimated_fdr,threshold,n_pred,TP,precision,recall,f1
160,160,0.20,0.156928,0.199944,0.0301022,7564,6377,0.843072,0.775602,0.807931
160,160,0.30,0.245195,0.299967,0.025901,9001,6794,0.754805,0.82632,0.788945
160,160,0.40,0.325523,0.399918,0.0230686,10414,7024,0.674477,0.854293,0.75381
160,160,0.50,0.392085,0.499947,0.0209236,11801,7174,0.607915,0.872537,0.716576
160,160,0.60,0.459217,0.599918,0.019062,13486,7293,0.540783,0.88701,0.671918
160,160,0.70,0.528779,0.69997,0.0173408,15723,7409,0.471221,0.901119,0.618835
160,160,0.80,0.591063,0.799883,0.01582,18328,7495,0.408937,0.911579,0.564595
160,160,0.90,0.648187,0.899945,0.0143618,21537,7577,0.351813,0.921552,0.509224
160,160,1.00,0.985671,1,-0.111382,573806,8222,0.0143289,1,0.0282529
180,180,0.10,0.0611456,0.0999916,0.0376999,5953,5589,0.938854,0.679762,0.788571
180,180,0.20,0.160668,0.199905,0.029577,7668,6436,0.839332,0.782778,0.810069
180,180,0.30,0.251635,0.299853,0.0253185,9172,6864,0.748365,0.834833,0.789238
180,180,0.40,0.33031,0.399967,0.0224274,10584,7088,0.66969,0.862077,0.753802
180,180,0.50,0.407022,0.499939,0.0201605,12218,7245,0.592978,0.881172,0.708904
180,180,0.60,0.473786,0.599633,0.0183318,14019,7377,0.526214,0.897227,0.663369
180,180,0.70,0.536358,0.699557,0.0167131,16090,7460,0.463642,0.907322,0.613689
180,180,0.80,0.595532,0.799988,0.0152256,18622,7532,0.404468,0.916079,0.561168
180,180,0.90,0.656847,0.899997,0.0137435,22133,7595,0.343153,0.923741,0.500412
180,180,1.00,0.985671,1,-0.114009,573806,8222,0.0143289,1,0.0282529
200,200,0.10,0.0618833,0.0999749,0.0375473,5979,5609,0.938117,0.682194,0.789944
200,200,0.20,0.15851,0.199841,0.0292855,7703,6482,0.84149,0.788373,0.814066
200,200,0.30,0.253655,0.29997,0.024916,9233,6891,0.746345,0.838117,0.789573
200,200,0.40,0.342275,0.39997,0.0218951,10848,7135,0.657725,0.867794,0.748296
200,200,0.50,0.416107,0.49999,0.0196182,12516,7308,0.583893,0.888835,0.704793
200,200,0.60,0.487601,0.599943,0.0177114,14477,7418,0.512399,0.902214,0.653597
200,200,0.70,0.544968,0.699331,0.0162084,16445,7483,0.455032,0.910119,0.606722
200,200,0.80,0.603566,0.799928,0.0147289,19070,7560,0.396434,0.919484,0.554009
200,200,0.90,0.662084,0.899831,0.0132853,22547,7619,0.337916,0.92666,0.495239
200,200,1.00,0.985671,1,-0.111416,573806,8222,0.0143289,1,0.0282529
