n_recordings,minutes,nominal_target_fdr,realized_fdr,estimated_fdr,threshold,n_pred,TP,precision,recall,f1
180,180,0.70,0.0742888,0.699924,0.0174808,11213,10380,0.925711,0.888394,0.906669
180,180,0.80,0.102501,0.799829,0.0160872,11873,10656,0.897499,0.912016,0.904699
180,180,0.90,0.140794,0.899534,0.0148378,12671,10887,0.859206,0.931787,0.894026
180,180,1.00,0.986359,1,-0.0442695,856550,11684,0.0136408,1,0.0269144
200,200,0.10,0.000444741,0.0997887,0.0456004,4497,4495,0.999555,0.384714,0.55559
200,200,0.20,0.00100402,0.199987,0.03654,5976,5970,0.998996,0.510955,0.676104
200,200,0.30,0.00471698,0.299807,0.0291558,7632,7596,0.995283,0.65012,0.786498
200,200,0.40,0.0140782,0.399975,0.0243653,8879,8754,0.985922,0.74923,0.851432
200,200,0.50,0.0261844,0.499975,0.0212117,9815,9558,0.973816,0.818042,0.889158
200,200,0.60,0.0452476,0.599673,0.0189857,10542,10065,0.954752,0.861434,0.905696
200,200,0.70,0.0689133,0.699953,0.0172434,11217,10444,0.931087,0.893872,0.9121
200,200,0.80,0.098227,0.799859,0.0158284,11901,10732,0.901773,0.918521,0.91007
200,200,0.90,0.139266,0.899831,0.0145536,12731,10958,0.860734,0.937864,0.897645
200,200,1.00,0.986359,1,-0.0441519,856550,11684,0.0136408,1,0.0269144
